coin,URL,count
bitcoin,http://privex3guvvasyer6pxz2fqcgy56auvw5egkir6ykwpptferdcb5toad.onion/,1
monero,http://privex3guvvasyer6pxz2fqcgy56auvw5egkir6ykwpptferdcb5toad.onion/,2
litecoin,http://privex3guvvasyer6pxz2fqcgy56auvw5egkir6ykwpptferdcb5toad.onion/,1
bitcoin,http://4dtwo7g4yjqtiu7sta7icchm3f2aomvfv62xrgn6jc42lm43ut4aydqd.onion/about/,1
bitcoin,http://uhqqhaq4keya7deng26ejmwdbty4brod4zj4nrydtteaw4yhroeeeqad.onion/,2
ethereum,http://uhqqhaq4keya7deng26ejmwdbty4brod4zj4nrydtteaw4yhroeeeqad.onion/,7
bitcoin,http://2a2a2abbjsjcjwfuozip6idfxsxyowoi3ajqyehqzfqyxezhacur7oyd.onion/shop/counterfeits/pre-shredded-25-000-usd-cash-queens-cash/,25
bitcoin,http://2a2a2abbjsjcjwfuozip6idfxsxyowoi3ajqyehqzfqyxezhacur7oyd.onion/?product_cat=counterfeits,41
bitcoin,http://dptvdzlv5ioyywhan642uppc5c4sa6dxbtm6stj4lai5tmdzkngs5oad.onion/,7
bitcoin,http://catalogxlotjjnu6vyevngf675vu6beefzxw6gd6a3fwgmgznksrqmqd.onion/wikis.html,1
bitcoin,http://22tojepqmpah32fkeuurutki7o5bmb45uhmgzdg4l2tk34fkdafgt7id.onion/,33
monero,http://22tojepqmpah32fkeuurutki7o5bmb45uhmgzdg4l2tk34fkdafgt7id.onion/,1
ethereum,http://22tojepqmpah32fkeuurutki7o5bmb45uhmgzdg4l2tk34fkdafgt7id.onion/,2
bitcoin,http://qidpoasheucappicqxqtrihclpwb7hn5m73mw4fovc5vvgyvp7vtwcqd.onion/,2
bitcoin,http://generzwnpm2av5fpctcqie6xdqpo7c2wflvxo2ngvim3wnwe5evg3cqd.onion/,1
bitcoin,http://uquroyobsaquslaunwkz6bmc3wutpzvwe7mv62xeq64645a57bugnsyd.onion,4
bitcoin,http://imperia6onwprqllkdc33zbws2rnn6qxohylq7xbqfl5yuvd2ofc6yid.onion/,4
bitcoin,http://hbkxrww7iiwtr6j3mvxhchaz42fkt3dq7g3aa44ip25pc62s3rh5uvad.onion,1
bitcoin,http://5n4qdkw2wavc55peppyrelmb2rgsx7ohcb2tkxhub2gyfurxulfyd3id.onion/,1
bitcoin,http://iyptqjjxwrinw2wxheags6cknm3ix5nhc222xdab2dtimym4huqmyaqd.onion/,22
monero,http://iyptqjjxwrinw2wxheags6cknm3ix5nhc222xdab2dtimym4huqmyaqd.onion/,3
bitcoin,http://deep2v63hwfsupagnmzxyal6jxhtcxdennvcsekkji7qqic4jmjcj3yd.onion/,4
bitcoin,http://fjg2ej7wepe4xp7yp343q76y2pzzh5vxrhptdk5rdoi5q3y4cez7glyd.onion/,5
bitcoin,http://torbei4xgybpkdgbsjuq7js64afj5ifqjdd5bbzntqai3xopzv2qptyd.onion/,3
bitcoin,http://uiwukoycteiwue5ahmi7bex4hvsc2e4yudlrfatucoozf5gp3p6vreyd.onion,1
bitcoin,http://hgzqgqunlejgxruvcthlpk3pywgkci3kkubhnvlv2rgveusz3n6qarad.onion,3
bitcoin,http://dioxkc3vegmpty7x3kiuuhk4yh6zn6ruonsuj6sqke464mggl3tp7wyd.onion,9
bitcoin,http://24dwni3zqe5x4alosa3vzippfog5nupoozurlagh4xqywnbd5fr3ebyd.onion/,10
bitcoin,http://sau4nxmvfjxjr2ci4xvrt777dat7trkuna3yvft5374ps7nijx623yyd.onion,14
bitcoin,http://cct5wy6mzgmft24xzw6zeaf55aaqmo6324gjlsghdhbiw5gdaaf4pkad.onion/,1
monero,http://cct5wy6mzgmft24xzw6zeaf55aaqmo6324gjlsghdhbiw5gdaaf4pkad.onion/,1
ethereum,http://cct5wy6mzgmft24xzw6zeaf55aaqmo6324gjlsghdhbiw5gdaaf4pkad.onion/,1
bitcoin,http://catalogxlotjjnu6vyevngf675vu6beefzxw6gd6a3fwgmgznksrqmqd.onion/news.html,1
bitcoin,http://2tppkhyhxqeepmtcigbb64zj3rbzkupczox5dfheuu4wdljzggxuiiad.onion,1
bitcoin,http://g3rzig6perhzmqepfx7zneaqmwjvmnvw53cxcgl7jjl7sp5gdbd5tlyd.onion,2
bitcoin,http://tomjejezyhisqf4cqzhtjoqtwdf7slb46eprudl4dyt2gmbpvsqmzkyd.onion,3
bitcoin,http://coqecsrd2gscgzs4ccc6weu7foawgcx5f4nllbmipgcw63n5eunfvvid.onion/,1
bitcoin,http://5n4qdkw2wavc55peppyrelmb2rgsx7ohcb2tkxhub2gyfurxulfyd3id.onion,1
bitcoin,http://h32ifdjro27sfrf5hdykdzf6xfpdvzco7uccfpbv2gfqvlbx7dlrpryd.onion/,1
bitcoin,http://xyenyedbtcw5xvrxbixbx3hkrgz4q2creek3s5fiorgc7w2pi5552iad.onion,2
bitcoin,http://salecl36zy7kdxaz42tvnfo5g3kdvmncdgdbw3ov3yr7cwooy6qzuhqd.onion/,3
bitcoin,http://puyr3jb76flvqemhkllg5bttt2dmiaexs3ggmfpyewc44vt5265uuaad.onion/,50
ethereum,http://puyr3jb76flvqemhkllg5bttt2dmiaexs3ggmfpyewc44vt5265uuaad.onion/,15
litecoin,http://puyr3jb76flvqemhkllg5bttt2dmiaexs3ggmfpyewc44vt5265uuaad.onion/,17
ethereum,http://422ekdpplueem67fhz6liwko6fskspankd3wthpw5qvzmqtxjtxqqpad.onion/,2
bitcoin,http://onionlloj5fjczwuq3ux3dgorihvkietpbf3hdnxrymijjgzyk2ebtqd.onion/,1
bitcoin,http://pae34lqbhw7xcz5folw7mjvjraf7it6mpbrw7strmqobrfxjwi2mxnyd.onion,3
bitcoin,http://duijvkpakr7che2zcshmflcv745nlqp24vp4pqmt3wqkt5yolx4rn4ad.onion,1
monero,http://duijvkpakr7che2zcshmflcv745nlqp24vp4pqmt3wqkt5yolx4rn4ad.onion,1
ethereum,http://duijvkpakr7che2zcshmflcv745nlqp24vp4pqmt3wqkt5yolx4rn4ad.onion,2
bitcoin,http://tape6m4x7swc7lwx2n2wtyccu4lt2qyahgwinx563gqfzeedn5nb4gid.onion/,6
ethereum,http://tape6m4x7swc7lwx2n2wtyccu4lt2qyahgwinx563gqfzeedn5nb4gid.onion/,1
bitcoin,http://megalzwink435kangsseahebpbp3teedi4jjt64ne2g6d3oqy3qlweid.onion/,12
bitcoin,http://monerotoruzizulg5ttgat2emf4d6fbmiea25detrmmy7erypseyteyd.onion,1
monero,http://monerotoruzizulg5ttgat2emf4d6fbmiea25detrmmy7erypseyteyd.onion,33
bitcoin,http://4aungu4fqbjuxwjpmsrfcmlkxk6i6hvxmh5pwqz32x5qolq2koutkhad.onion,1
ethereum,http://5l4azvzhtzzxybvrotdmdh6q2ot47sdncz4uynexwhey2apaxz7abkid.onion,4
bitcoin,http://deeyb4ewqghsujbqokcimlfs6646fcmf3yjiw4qv4qzhpirh26q2wcyd.onion,8
bitcoin,http://4eoz4pemry55ioyns744kdvrqgmterzy5xlrairziuuxrjbmdipcyyad.onion/Recommend&Trust,1
monero,http://4eoz4pemry55ioyns744kdvrqgmterzy5xlrairziuuxrjbmdipcyyad.onion/Recommend&Trust,1
bitcoin,http://l7vh56hxm3t4tzy75nxzducszppgi45fyx2wy6chujxb2rhy7o5r62ad.onion/,1
ethereum,http://l7vh56hxm3t4tzy75nxzducszppgi45fyx2wy6chujxb2rhy7o5r62ad.onion/,1
litecoin,http://l7vh56hxm3t4tzy75nxzducszppgi45fyx2wy6chujxb2rhy7o5r62ad.onion/,1
bitcoin,http://torliwgfgbm25vy2zyodv6qci7monx4cz7dq4viia4eq4swkxmwckead.onion/,7
ethereum,http://torliwgfgbm25vy2zyodv6qci7monx4cz7dq4viia4eq4swkxmwckead.onion/,1
ethereum,http://suomidrm4jxoggzwe4ibav6e74xlx2qoriq33vyqe2gk2gaibngw3uyd.onion/?/ukko/,1
bitcoin,http://p23gulsmmneshdxabrbt3j2enmf2h4suynuujimjqjlklo4pprx6flid.onion,2
bitcoin,http://qdoengfklui3263cymghxqiihxfmmjggzjicqqy5gcc72tai2xtengqd.onion/,1
bitcoin,http://conzz3bcygnhzocckbwyfcu4hr4nt653y6ybtq5uujqx3k57gl54seid.onion/,1
bitcoin,http://tordoge35c5krfwoghekqpe6zlbdgfafn5byppmgnthktzmtk4rjahqd.onion,23
monero,http://tordoge35c5krfwoghekqpe6zlbdgfafn5byppmgnthktzmtk4rjahqd.onion,1
ethereum,http://tordoge35c5krfwoghekqpe6zlbdgfafn5byppmgnthktzmtk4rjahqd.onion,2
zcash,http://tordoge35c5krfwoghekqpe6zlbdgfafn5byppmgnthktzmtk4rjahqd.onion,1
bitcoin,http://escroww42nwgs2b5rban2hzpqnf2qytvtuwd34xqgbrv2mywtp4nqyqd.onion/,7
bitcoin,http://rio2lisjaf4g6uazrawpm3qm7aojkga5t7apuvifj2m3l5qwdivaaxid.onion,14
bitcoin,http://tomjejezyhisqf4cqzhtjoqtwdf7slb46eprudl4dyt2gmbpvsqmzkyd.onion/,3
bitcoin,http://zqktlwiawxckqmthzpumhmizxwtf6hd7btimcul2bvpgp5mglbvs7yad.onion/wiki/index.php/Main_Page,17
monero,http://zqktlwiawxckqmthzpumhmizxwtf6hd7btimcul2bvpgp5mglbvs7yad.onion/wiki/index.php/Main_Page,6
bitcoin,http://catalogxlotjjnu6vyevngf675vu6beefzxw6gd6a3fwgmgznksrqmqd.onion/popular.html,1
bitcoin,http://duckwm3krjkdpb7wbkgbra5bu7ilwr2wj5zjp6pym7clfprumwdluhid.onion,4
bitcoin,http://paullzqj3ntil7vyar3gxeks7bz5haiteeehz5vdk5fadvtto7q7liid.onion,8
monero,http://paullzqj3ntil7vyar3gxeks7bz5haiteeehz5vdk5fadvtto7q7liid.onion,1
bitcoin,http://bepig5bcjdhtlwpgeh3w42hffftcqmg7b77vzu7ponty52kiey5ec4ad.onion/,3
bitcoin,http://catalogxlotjjnu6vyevngf675vu6beefzxw6gd6a3fwgmgznksrqmqd.onion/ebooks.html,1
bitcoin,http://findtorroveq5wdnipkaojfpqulxnkhblymc7aramjzajcvpptd4rjqd.onion/campaign,1
bitcoin,http://tj5xzgekfc4d4sxskzb2vpk66cvdnrigdygrcss3m7zr6hp75ij72pqd.onion/,2
bitcoin,http://wfhk7qy6ycihylvls7xrmlyp3elin3k6ezyee4ovp3oj2wudrhmhgwid.onion,9
bitcoin,http://btcdwn2djnupcpwasjinxzpe5mzq4ksfv2cwhuzfbno3j3hfok3v46id.onion,5
ethereum,http://h5jauggmexwnkvyh5yrususcmfposo4e7xo5d62ywcupk66dayer35qd.onion,2
bitcoin,http://puyr3jb76flvqemhkllg5bttt2dmiaexs3ggmfpyewc44vt5265uuaad.onion,50
ethereum,http://puyr3jb76flvqemhkllg5bttt2dmiaexs3ggmfpyewc44vt5265uuaad.onion,15
litecoin,http://puyr3jb76flvqemhkllg5bttt2dmiaexs3ggmfpyewc44vt5265uuaad.onion,17
bitcoin,http://t3g5mz7kgivhgzua64vxmu7ieyyoyzgd423itqjortjhh64lcvspyayd.onion/,9
bitcoin,http://megalpb3g3rjsm2c4eftd3zhttf7cbju3ebcfjmz7clgj2uz2p47asyd.onion/,1
bitcoin,http://trustxiwvb33kaouqn54fpaibvpin4s5pa3z3pkb5y3gqdf2fiplmjqd.onion/,8
bitcoin,http://darkcittggmuwo7iuvciis3kh367cxehzzsr773zqhacjq3tdp4w3hid.onion,1
monero,http://bumz4sduzxzlobbgzy5fiufdflg3mo2jyecdwdx5rphrqldms7wlmiid.onion/,20
bitcoin,http://hybl2bkou7hlqzhrmhdrbmzd7olm6ovou5fq4t26yejy4a67vail5ayd.onion,31
bitcoin,http://gaqi5rzneunj2xbamznkflu73xvsncaidq6glqi3vfltek7crvfoc6yd.onion/,1
bitcoin,http://hackedabm6ejvmh7xiiqdq3ptflorhdvjurhheqbovlu64xi3zbrlpad.onion/,4
bitcoin,http://mooooon7tbqhcvqtgiewaxipc6irncnsb6mmfmj5o4o3r3hijc2jgaad.onion/,2
monero,http://mooooon7tbqhcvqtgiewaxipc6irncnsb6mmfmj5o4o3r3hijc2jgaad.onion/,1
bitcoin,http://kp6ewvhvc3mkimzlr43is6fy4voa7r6rdyta5kyb7nr4rgfkrombopqd.onion/,1
bitcoin,http://as2ugignktvzssznrsr2xi54kfhi4edxsj2kkqwlvn7tbaxci5xqxfyd.onion/,11
bitcoin,http://2222asi7crk3yh5dbanvul4uldpktisa637rznipn3g5qodyzqz5urqd.onion,14
bitcoin,http://a744bceasgyfm6yn23o5rbtbubbekrnqz7bxawgtfxdgmighmpevxnad.onion,19
bitcoin,http://bxp6oh6lpmj3dzxwr5wjeezr5xlsm4cum5mbuzv3diw2ykpzqutmlcad.onion/,4
ethereum,http://bxp6oh6lpmj3dzxwr5wjeezr5xlsm4cum5mbuzv3diw2ykpzqutmlcad.onion/,6
bitcoin,http://jgdsqli2cbxgx5kwyafp5hsotikgnxbvzczx3czk3vnkpyya7hhgfpad.onion/,3
bitcoin,http://wvqwxc2pv54vodexdspx45nto5brtuomdibcdc5xk22kjnjjseov6kid.onion,18
bitcoin,http://2ezyu2ao5db5bf3pm36kimn5b347nsz5fonfeusaromcnek425dulwid.onion,1
bitcoin,http://bgypxw5eofvg2to4i2gsxb5dbnj6e6cisab47i2dhdvlevkd7crcaeqd.onion/,4
bitcoin,http://catalogxlotjjnu6vyevngf675vu6beefzxw6gd6a3fwgmgznksrqmqd.onion/gambling.html,5
bitcoin,http://t2cbxr7quu4kamcmuh66k5hxgsnreidp5gkts7zfosbdaqwrjetl2xqd.onion,2
bitcoin,http://deeeepv4bfndyatwkdzeciebqcwwlvgqa6mofdtsvwpon4elfut7lfqd.onion,6
bitcoin,http://cardinjwxzuuxaog4byyuptwbmgrlta5qsa2z4frqutpxkgyt2wcegqd.onion/,3
bitcoin,http://g4eyyhx62lmueffp3au7xpsl5ob3ggegf5eidsfuiyiimy7fpdkwr4ad.onion,2
bitcoin,http://twcd7fo4eepxznx7vajl5njkfpkz3g3z6qhynffcy3hb6n42dov2omid.onion/,1
bitcoin,http://opn3xlcpfuepdfncrs7hwtgwvbor5j2jjimibxdg5mizhuljwmk2hvqd.onion/,4
bitcoin,http://7tjbnspy7cauhm5elwvtcgdtchl44hpea6gxvfqjmgv5p6vnjwdt36yd.onion,14
bitcoin,http://blenderjkul472odyrnpmnirqgpzd3kms54jrrfycledrvvfbyj3wnqd.onion/,11
bitcoin,http://ydgzsayucl7gkfhkgs65htb7bkjiaq3sudy5npmmnypd67ulafmok3ad.onion/,2
bitcoin,http://52rrmev2uajxmmegzrtx2k3pbeqyhr7wagtluuinsdnlpkvqgwfv7qyd.onion/,1
bitcoin,http://wchbve3p6yt5y6j7nk6myqehtvlrpzp3crhudue2mvrpm2svoxokbqid.onion,3
bitcoin,http://bd7uqvma4x3qfzwpa6pkrgdvtthd5hd2j4qdcvhb2fmpwuen5tdnrmqd.onion/,19
bitcoin,http://torwin5lcn2um3brjftk7mm5gqeqtkocgevezejz6xxqyyk7xmcqndid.onion/index.php/Main_Page,7
monero,http://torwin5lcn2um3brjftk7mm5gqeqtkocgevezejz6xxqyyk7xmcqndid.onion/index.php/Main_Page,3
ethereum,http://scaa6fzk2n2rj5gxtv3p5nmbfhvu6wscj4vysw7hz3pycawsekdimhyd.onion/,16
bitcoin,http://srcdemonm74icqjvejew6fprssuolyoc2usjdwflevbdpqoetw4x3ead.onion/,1
bitcoin,http://shop6bpuax4uk53slpyt56bhl43f2cefpcejwyrbtvcfugujldt3eyqd.onion/,5
bitcoin,http://jlntkrzfpytzz6mpiuwgc2koqd23fn2hvgyvfcnrggbxjrm5juv2l6qd.onion/public/technolocos,1
bitcoin,http://ypsipsl3tzn3gqlhx7gsniyqkv526iyxyld4isfimdvhdm57pjrudqqd.onion,6
bitcoin,http://exbit3ea32ls7rp724uro6s4ncoxnyjpbljodwjnwj7vqxxaew3ejrad.onion/,14
bitcoin,http://ojmaexxfi2d4xqp3aiubvftexo7lwwakb4sfkchlcgkguwasufmbstad.onion/,16
bitcoin,http://fqxgmtgcdxcl6h2wsguuunexqdvafn47otxvlv4ossr7scfwlzfnkdqd.onion,7
bitcoin,http://btcsellmukomcierxvhj42jqxooow6rmcj2kie2evlwfsemgxxrxufad.onion,1
bitcoin,http://catalogxlotjjnu6vyevngf675vu6beefzxw6gd6a3fwgmgznksrqmqd.onion/faq.html,2
bitcoin,http://dnhuboxyxgbhmnozl5j4wntoon56x423iteusfmbqwsdwl26gnqqy6id.onion,2
monero,http://dnhuboxyxgbhmnozl5j4wntoon56x423iteusfmbqwsdwl26gnqqy6id.onion,1
litecoin,http://dnhuboxyxgbhmnozl5j4wntoon56x423iteusfmbqwsdwl26gnqqy6id.onion,1
bitcoin,http://3wewrluphomhyrszg7hvgczrykjdmiiw33tloont2nlfxwiykeo7oaqd.onion,2
bitcoin,http://catalogxlotjjnu6vyevngf675vu6beefzxw6gd6a3fwgmgznksrqmqd.onion/add-link.html,1
bitcoin,http://bd7uqvma4x3qfzwpa6pkrgdvtthd5hd2j4qdcvhb2fmpwuen5tdnrmqd.onion/faq/,20
bitcoin,http://bmuxjcjfkum4i7of4rer75bkuepgvo2xqhnxfbv4lmfqxrstfka4ohqd.onion/,1
bitcoin,http://z27wmjswte2mic5n2xvwexbzirxjgbhelx2ut6nynv3gmknzzc454lad.onion,22
ethereum,http://z27wmjswte2mic5n2xvwexbzirxjgbhelx2ut6nynv3gmknzzc454lad.onion,4
litecoin,http://z27wmjswte2mic5n2xvwexbzirxjgbhelx2ut6nynv3gmknzzc454lad.onion,4
bitcoin,http://4f56dbv33j4meld3s5tnuzu5sapjzc2a5mmn2rwpgzsiwum6kvn7kcad.onion,55
bitcoin,http://6h6map4z5j2e7xxbokjzcav6susjpcmc32v72k2bki2wzwhqjxd5l2qd.onion/,4
bitcoin,http://btcwxfgeyhsb4ng6p7dhz65todetcvp66nohcgw4spwjsaibocw4duad.onion,34
monero,http://btcwxfgeyhsb4ng6p7dhz65todetcvp66nohcgw4spwjsaibocw4duad.onion,1
bitcoin,http://l3uj223mi56utherkykiqorzzvjwejkr3imu4ym34bxgig2u3liudiad.onion,1
bitcoin,http://z4odvem6bfypjqmwhsgtdaqtkkwgbxhe63dzq2lpnrmnmb6bgoafirad.onion/,4
bitcoin,http://26ljjgt5f43euekvrdvvpwgurmbw7ruaxun4ttisw7kscjvu6fswdeqd.onion,10
bitcoin,http://427b566urhnglxjn526xib5x373agyyygo6zpjx7he4pvjg6a2m3ilad.onion,36
bitcoin,http://oyozquwzsywhopmdqg4bymkxrc4aw2slca4nilsrxvni6mzfl7qj6rqd.onion/,7
bitcoin,http://geikhtn6qtrjtywxnue4mws2yqdwgbcqa74aeh7lxshmbhgwmzda3aad.onion/,5
bitcoin,http://piratebayo3klnzokct3wt5yyxb2vpebbuyjl7m623iaxmqhsd52coid.onion/,1
monero,http://piratebayo3klnzokct3wt5yyxb2vpebbuyjl7m623iaxmqhsd52coid.onion/,1
ethereum,http://piratebayo3klnzokct3wt5yyxb2vpebbuyjl7m623iaxmqhsd52coid.onion/,1
litecoin,http://piratebayo3klnzokct3wt5yyxb2vpebbuyjl7m623iaxmqhsd52coid.onion/,1
bitcoin,http://kjsba5xg6vb7gvtzu7eecpwvsggem6qbvmw3h5enj3b4viqvksvktuyd.onion,10
ethereum,http://kjsba5xg6vb7gvtzu7eecpwvsggem6qbvmw3h5enj3b4viqvksvktuyd.onion,1
zcash,http://kjsba5xg6vb7gvtzu7eecpwvsggem6qbvmw3h5enj3b4viqvksvktuyd.onion,1
litecoin,http://kjsba5xg6vb7gvtzu7eecpwvsggem6qbvmw3h5enj3b4viqvksvktuyd.onion,1
bitcoin,http://nnhditqploemi2oivjqnj2codrksqe26tfbh67c52tuk4h53ekeq6bid.onion/,24
bitcoin,http://kimberlymoris.anonblogd4pcarck2ff6qlseyawjljaatp6wjq6rqpet2wfuoom42kyd.onion/p/telegram-deepwebma-to-diploma-certificates-phd-s-ielts-certificate-bachelor-degrees-nclex-certificate-mba-id-cards-ssn-cards,3
bitcoin,http://bmxb34y5pzorv7jcaafqbkqnnymutznyhie6hlcatd4ekuc5d7h73kid.onion/,7
bitcoin,http://wish7hbbsd4kdkzd2eepjfcdg6p7weshnbnzsbiaachmt6627g6j6sad.onion,4
bitcoin,http://24qbbk6mmrjktsr56inw7e3gzzokyoi7syupkjq6eiua6sdquhbahhad.onion,2
bitcoin,http://qmoneylgkppz4forni2z5vuyzzrgt4ydprzi76ptqgdcvuxt6jqy2gad.onion/,3
bitcoin,http://rbj2tpcaeefxnmpfewlm7prkeaufogya2omw47znk3grnk3h7nhw2vad.onion,9
bitcoin,http://grqbybjuo2zrxv4m2h6q33shgxas7q5lb4qir2qtnarlnwjsowelaoqd.onion/http://,3
bitcoin,http://cgcy6acxwpr276fobwjymectxiqmg3qkxg3mkl2zlz2g4c5gmeul3rqd.onion,1
bitcoin,http://onionax33cpuvzskcwcwobcv66qwcyfzo24yeowgjpmpp4mklq7fohid.onion/,1
bitcoin,http://paullzqj3ntil7vyar3gxeks7bz5haiteeehz5vdk5fadvtto7q7liid.onion/,8
monero,http://paullzqj3ntil7vyar3gxeks7bz5haiteeehz5vdk5fadvtto7q7liid.onion/,1
bitcoin,http://gforweopsz6zuig5e27mvymo7eqwvb6oz5on5fkjoxfe2umvaetvcbqd.onion/,1
bitcoin,http://6mjdlp4bcvkcpkduwrgaoj7fskdewbb2mftugcgsnbfi4v6b5ko3reqd.onion/,1
ethereum,http://6mjdlp4bcvkcpkduwrgaoj7fskdewbb2mftugcgsnbfi4v6b5ko3reqd.onion/,1
bitcoin,http://stormwayszuh4juycoy4kwoww5gvcu2c4tdtpkup667pdwe4qenzwayd.onion/,4
monero,http://stormwayszuh4juycoy4kwoww5gvcu2c4tdtpkup667pdwe4qenzwayd.onion/,1
bitcoin,http://qsw7iurcrdwyml5kg4oxbmtqrcnpxiag3iumdarefzeunnyc2dnyljad.onion,7
monero,http://qsw7iurcrdwyml5kg4oxbmtqrcnpxiag3iumdarefzeunnyc2dnyljad.onion,1
bitcoin,http://bettwxorlijh75rm5utttloqysc7zu6jsfhufdbe3yyuc774h7zytuqd.onion,2
ethereum,http://bettwxorlijh75rm5utttloqysc7zu6jsfhufdbe3yyuc774h7zytuqd.onion,1
litecoin,http://bettwxorlijh75rm5utttloqysc7zu6jsfhufdbe3yyuc774h7zytuqd.onion,1
bitcoin,http://coqecsrd2gscgzs4ccc6weu7foawgcx5f4nllbmipgcw63n5eunfvvid.onion,1
bitcoin,http://4fkus6677knjgarqp2r7rhnpqdxzw7en7earran2djd7pye3nab2odqd.onion,2
bitcoin,http://dw74lmb2sm34u23s22opam75ffk5emn5lk6cdnjq5zlqquzpe5cyc5id.onion/,5
bitcoin,http://vo4ho5pwzwp5dc26uo777mhblbs7gf5khcry7tvzvyqslwoyh5rf3gid.onion/,1
monero,http://featherdvtpi7ckdbkb2yxjfwx3oyvr3xjz3oo4rszylfzjdg6pbm3id.onion/,4
bitcoin,http://6vqlua77ndgv6dhau7ezicnjywx7nbamlng4xv2wipxmrk7ilpmozead.onion/,448
bitcoin,http://torv5dp5n46htkqu42r3ywtt75ll2zu24a3yhcsgm6aslp43woclc2id.onion,1
bitcoin,http://fprdverbnvzpte3ryhbnwza3lalaq5wphelcbalmw47aurwvg2irzcid.onion/,5
